Date,Open,High,Low,Close,Adj Close,Volume
1973-02-21,0.279297,0.279297,0.279297,0.279297,0.131709,57600
1973-02-22,0.275391,0.275391,0.275391,0.275391,0.129867,140800
1973-02-23,0.263672,0.263672,0.263672,0.263672,0.124340,288000
1973-02-26,0.248047,0.248047,0.248047,0.248047,0.116972,345600
1973-02-27,0.248047,0.248047,0.248047,0.248047,0.116972,243200
1973-02-28,0.253906,0.253906,0.253906,0.253906,0.119735,179200
1973-03-01,0.250000,0.250000,0.250000,0.250000,0.117893,76800
1973-03-02,0.251953,0.251953,0.251953,0.251953,0.118814,313600
1973-03-05,0.255859,0.255859,0.255859,0.255859,0.120656,569600
1973-03-06,0.265625,0.265625,0.265625,0.265625,0.125261,147200
1973-03-07,0.265625,0.265625,0.265625,0.265625,0.125261,76800
1973-03-08,0.265625,0.265625,0.265625,0.265625,0.125261,51200
1973-03-09,0.255859,0.255859,0.255859,0.255859,0.120656,224000
1973-03-12,0.251953,0.251953,0.251953,0.251953,0.118814,44800
1973-03-13,0.251953,0.251953,0.251953,0.251953,0.118814,64000
1973-03-14,0.253906,0.253906,0.253906,0.253906,0.119735,108800
1973-03-15,0.253906,0.253906,0.253906,0.253906,0.119735,44800
1973-03-16,0.251953,0.251953,0.251953,0.251953,0.118814,57600
1973-03-19,0.250000,0.250000,0.250000,0.250000,0.117893,44800
1973-03-20,0.250000,0.250000,0.250000,0.250000,0.117893,12800
1973-03-21,0.250000,0.250000,0.250000,0.250000,0.117893,44800
1973-03-22,0.236328,0.236328,0.236328,0.236328,0.111446,160000
1973-03-23,0.236328,0.236328,0.236328,0.236328,0.111446,44800
1973-03-26,0.236328,0.236328,0.236328,0.236328,0.111446,57600
1973-03-27,0.236328,0.236328,0.236328,0.236328,0.111446,44800
1973-03-28,0.224609,0.224609,0.224609,0.224609,0.105919,121600
1973-03-29,0.238281,0.238281,0.238281,0.238281,0.112366,1766400
1973-03-30,0.253906,0.253906,0.253906,0.253906,0.119735,185600
