Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.000000,0.536458,0.468750,0.473958,0.215727,484800
1980-03-18,0.000000,0.541667,0.416667,0.541667,0.246546,2179200
1980-03-19,0.000000,0.546875,0.518229,0.533854,0.242989,859200
1980-03-20,0.000000,0.536458,0.513021,0.513021,0.233507,403200
1980-03-21,0.000000,0.518229,0.494792,0.500000,0.227581,144000
1980-03-24,0.000000,0.505208,0.476563,0.476563,0.216913,273600
1980-03-25,0.000000,0.500000,0.473958,0.479167,0.218098,403200
1980-03-26,0.000000,0.497396,0.489583,0.489583,0.222839,86400
1980-03-27,0.000000,0.473958,0.411458,0.427083,0.194392,820800
1980-03-28,0.000000,0.479167,0.455729,0.479167,0.218098,350400
1980-03-31,0.000000,0.518229,0.486979,0.497396,0.226395,388800
1980-04-01,0.000000,0.562500,0.505208,0.536458,0.244175,456000
1980-04-02,0.000000,0.567708,0.533854,0.567708,0.258399,283200
1980-04-03,0.000000,0.583333,0.541667,0.562500,0.256028,340800
1980-04-07,0.000000,0.552083,0.531250,0.531250,0.241804,67200
1980-04-08,0.000000,0.526042,0.515625,0.526042,0.239434,172800
1980-04-09,0.000000,0.539063,0.531250,0.539063,0.245360,100800
1980-04-10,0.000000,0.549479,0.544271,0.544271,0.247731,48000
1980-04-11,0.000000,0.552083,0.546875,0.546875,0.248916,62400
1980-04-14,0.000000,0.549479,0.531250,0.531250,0.241804,240000
1980-04-15,0.000000,0.531250,0.526042,0.526042,0.239434,38400
1980-04-16,0.000000,0.531250,0.513021,0.513021,0.233507,187200
1980-04-17,0.000000,0.507813,0.479167,0.479167,0.218098,172800
1980-04-18,0.000000,0.486979,0.458333,0.458333,0.208615,283200
1980-04-21,0.000000,0.460938,0.453125,0.458333,0.208615,192000
1980-04-22,0.000000,0.520833,0.471354,0.520833,0.237063,307200
1980-04-23,0.000000,0.531250,0.515625,0.515625,0.234692,201600
1980-04-24,0.000000,0.546875,0.520833,0.541667,0.246546,177600
1980-04-25,0.000000,0.536458,0.513021,0.526042,0.239434,259200
1980-04-28,0.000000,0.531250,0.510417,0.510417,0.232322,220800
1980-04-29,0.000000,0.526042,0.510417,0.523438,0.238249,124800
1980-04-30,0.000000,0.528646,0.523438,0.528646,0.240619,105600
1980-05-01,0.000000,0.533854,0.526042,0.526042,0.239434,62400
1980-05-02,0.000000,0.526042,0.518229,0.518229,0.235878,33600
1980-05-05,0.000000,0.510417,0.500000,0.505208,0.229951,144000
1980-05-06,0.000000,0.500000,0.497396,0.500000,0.227581,91200
1980-05-07,0.000000,0.500000,0.484375,0.484375,0.220469,72000
1980-05-08,0.000000,0.492188,0.481771,0.486979,0.221654,235200
1980-05-09,0.000000,0.481771,0.473958,0.476563,0.216913,163200
1980-05-12,0.000000,0.471354,0.466146,0.466146,0.212172,168000
1980-05-13,0.000000,0.481771,0.463542,0.479167,0.218098,86400
1980-05-14,0.000000,0.497396,0.479167,0.489583,0.222839,249600
1980-05-15,0.000000,0.510417,0.494792,0.500000,0.227581,163200
1980-05-16,0.000000,0.500000,0.500000,0.500000,0.227581,14400
1980-05-19,0.000000,0.505208,0.505208,0.505208,0.229951,33600
1980-05-20,0.000000,0.507813,0.500000,0.500000,0.227581,43200
1980-05-21,0.000000,0.500000,0.494792,0.494792,0.225210,48000
1980-05-22,0.494792,0.494792,0.494792,0.494792,0.225210,0
1980-05-23,0.000000,0.513021,0.500000,0.510417,0.232322,86400
1980-05-27,0.000000,0.562500,0.510417,0.546875,0.248916,523200
1980-05-28,0.000000,0.552083,0.546875,0.552083,0.251287,86400
1980-05-29,0.000000,0.549479,0.520833,0.528646,0.240619,648000
1980-05-30,0.000000,0.536458,0.510417,0.531250,0.241804,340800
1980-06-02,0.000000,0.549479,0.536458,0.536458,0.244175,153600
1980-06-03,0.000000,0.536458,0.531250,0.531250,0.241804,91200
1980-06-04,0.000000,0.539063,0.523438,0.539063,0.245360,134400
1980-06-05,0.000000,0.552083,0.544271,0.544271,0.247731,148800
1980-06-06,0.000000,0.570313,0.546875,0.570313,0.259584,192000
1980-06-09,0.000000,0.598958,0.572917,0.585938,0.266696,345600
1980-06-10,0.000000,0.580729,0.567708,0.572917,0.260769,235200
1980-06-11,0.000000,0.572917,0.557292,0.567708,0.258399,124800
1980-06-12,0.000000,0.572917,0.562500,0.570313,0.259584,115200
1980-06-13,0.000000,0.570313,0.557292,0.557292,0.253658,100800
1980-06-16,0.000000,0.559896,0.559896,0.559896,0.254843,19200
1980-06-17,0.000000,0.567708,0.562500,0.562500,0.256028,67200
1980-06-18,0.000000,0.562500,0.554688,0.557292,0.253658,86400
1980-06-19,0.000000,0.557292,0.546875,0.552083,0.251287,120000
1980-06-20,0.000000,0.546875,0.539063,0.541667,0.246546,57600
1980-06-23,0.000000,0.552083,0.539063,0.541667,0.246546,201600
1980-06-24,0.000000,0.578125,0.544271,0.578125,0.263140,264000
1980-06-25,0.000000,0.604167,0.565104,0.583333,0.265510,340800
1980-06-26,0.000000,0.583333,0.578125,0.578125,0.263140,76800
1980-06-27,0.000000,0.609375,0.578125,0.601563,0.273808,225600
1980-06-30,0.000000,0.609375,0.596354,0.596354,0.271437,153600
1980-07-01,0.000000,0.591146,0.578125,0.580729,0.264325,148800
1980-07-02,0.000000,0.606771,0.583333,0.585938,0.266696,187200
1980-07-03,0.000000,0.596354,0.585938,0.596354,0.271437,288000
1980-07-07,0.000000,0.596354,0.588542,0.591146,0.269067,283200
1980-07-08,0.000000,0.632813,0.591146,0.611979,0.278549,916800
1980-07-09,0.000000,0.630208,0.606771,0.619792,0.282105,249600
1980-07-10,0.000000,0.622396,0.614583,0.622396,0.283290,67200
1980-07-11,0.000000,0.625000,0.617188,0.619792,0.282105,153600
1980-07-14,0.000000,0.622396,0.614583,0.617188,0.280920,139200
1980-07-15,0.000000,0.619792,0.598958,0.611979,0.278549,230400
1980-07-16,0.000000,0.614583,0.606771,0.611979,0.278549,86400
1980-07-17,0.000000,0.617188,0.614583,0.617188,0.280920,96000
1980-07-18,0.000000,0.614583,0.588542,0.593750,0.270252,211200
1980-07-21,0.000000,0.598958,0.588542,0.591146,0.269067,86400
1980-07-22,0.000000,0.617188,0.596354,0.611979,0.278549,283200
1980-07-23,0.000000,0.611979,0.606771,0.609375,0.277364,72000
1980-07-24,0.000000,0.614583,0.601563,0.611979,0.278549,124800
1980-07-25,0.000000,0.622396,0.604167,0.622396,0.283290,172800
1980-07-28,0.000000,0.622396,0.611979,0.617188,0.280920,105600
1980-07-29,0.000000,0.625000,0.614583,0.625000,0.284476,81600
1980-07-30,0.000000,0.635417,0.619792,0.630208,0.286846,292800
1980-07-31,0.000000,0.630208,0.619792,0.627604,0.285661,235200
1980-08-01,0.000000,0.627604,0.617188,0.622396,0.283290,129600
1980-08-04,0.000000,0.622396,0.617188,0.622396,0.283290,57600
1980-08-05,0.000000,0.632813,0.617188,0.622396,0.283290,384000
1980-08-06,0.000000,0.625000,0.622396,0.625000,0.284476,67200
1980-08-07,0.000000,0.625000,0.614583,0.619792,0.282105,120000
1980-08-08,0.000000,0.619792,0.617188,0.619792,0.282105,28800
1980-08-11,0.000000,0.617188,0.609375,0.609375,0.277364,264000
1980-08-12,0.000000,0.622396,0.609375,0.619792,0.282105,100800
1980-08-13,0.000000,0.614583,0.606771,0.611979,0.278549,129600
1980-08-14,0.000000,0.617188,0.606771,0.609375,0.277364,67200
1980-08-15,0.000000,0.611979,0.604167,0.606771,0.276179,86400
1980-08-18,0.000000,0.601563,0.591146,0.591146,0.269067,81600
1980-08-19,0.000000,0.601563,0.575521,0.575521,0.261955,153600
1980-08-20,0.000000,0.585938,0.570313,0.585938,0.266696,124800
1980-08-21,0.000000,0.604167,0.593750,0.604167,0.274993,312000
1980-08-22,0.000000,0.604167,0.598958,0.604167,0.274993,172800
1980-08-25,0.000000,0.614583,0.598958,0.601563,0.273808,91200
1980-08-26,0.000000,0.601563,0.588542,0.588542,0.267882,76800
1980-08-27,0.000000,0.591146,0.585938,0.585938,0.266696,115200
1980-08-28,0.000000,0.583333,0.575521,0.580729,0.264325,67200
1980-08-29,0.000000,0.580729,0.562500,0.580729,0.264325,187200
1980-09-02,0.000000,0.606771,0.583333,0.601563,0.273808,177600
1980-09-03,0.000000,0.614583,0.598958,0.611979,0.278549,230400
1980-09-04,0.000000,0.674479,0.622396,0.661458,0.301070,763200
1980-09-05,0.000000,0.697917,0.661458,0.682292,0.310553,984000
1980-09-08,0.000000,0.708333,0.684896,0.700521,0.318850,494400
1980-09-09,0.000000,0.703125,0.687500,0.687500,0.312924,177600
1980-09-10,0.000000,0.703125,0.687500,0.703125,0.320035,153600
1980-09-11,0.000000,0.703125,0.692708,0.692708,0.315294,33600
1980-09-12,0.000000,0.716146,0.692708,0.695313,0.316479,163200
1980-09-15,0.000000,0.708333,0.666667,0.677083,0.308182,441600
1980-09-16,0.000000,0.671875,0.661458,0.671875,0.305811,105600
1980-09-17,0.000000,0.666667,0.651042,0.656250,0.298700,158400
1980-09-18,0.000000,0.661458,0.640625,0.640625,0.291588,196800
1980-09-19,0.000000,0.674479,0.640625,0.674479,0.306997,206400
1980-09-22,0.000000,0.705729,0.684896,0.692708,0.315294,364800
1980-09-23,0.000000,0.695313,0.671875,0.671875,0.305811,86400
1980-09-24,0.000000,0.666667,0.661458,0.661458,0.301070,96000
1980-09-25,0.000000,0.666667,0.632813,0.632813,0.288032,211200
1980-09-26,0.000000,0.635417,0.614583,0.622396,0.283290,273600
1980-09-29,0.000000,0.614583,0.593750,0.596354,0.271437,163200
1980-09-30,0.000000,0.625000,0.604167,0.625000,0.284476,196800
1980-10-01,0.000000,0.625000,0.609375,0.614583,0.279734,91200
1980-10-02,0.000000,0.617188,0.614583,0.614583,0.279734,43200
1980-10-03,0.000000,0.619792,0.606771,0.609375,0.277364,182400
1980-10-06,0.000000,0.635417,0.598958,0.635417,0.289217,340800
1980-10-07,0.000000,0.645833,0.635417,0.645833,0.293958,67200
1980-10-08,0.000000,0.677083,0.640625,0.664063,0.302255,297600
1980-10-09,0.000000,0.687500,0.656250,0.658854,0.299885,350400
1980-10-10,0.000000,0.664063,0.653646,0.661458,0.301070,134400
1980-10-13,0.000000,0.656250,0.656250,0.656250,0.298700,14400
1980-10-14,0.000000,0.666667,0.656250,0.664063,0.302255,403200
1980-10-15,0.000000,0.666667,0.640625,0.651042,0.296329,264000
1980-10-16,0.000000,0.645833,0.635417,0.635417,0.289217,177600
1980-10-17,0.000000,0.635417,0.627604,0.630208,0.286846,91200
1980-10-20,0.000000,0.638021,0.630208,0.630208,0.286846,72000
1980-10-21,0.000000,0.643229,0.630208,0.643229,0.292773,81600
1980-10-22,0.000000,0.643229,0.635417,0.643229,0.292773,81600
1980-10-23,0.000000,0.643229,0.614583,0.614583,0.279734,216000
1980-10-24,0.000000,0.625000,0.617188,0.625000,0.284476,57600
1980-10-27,0.000000,0.625000,0.614583,0.614583,0.279734,67200
1980-10-28,0.000000,0.617188,0.609375,0.614583,0.279734,38400
1980-10-29,0.000000,0.648438,0.609375,0.638021,0.290402,148800
1980-10-30,0.000000,0.635417,0.625000,0.625000,0.284476,172800
1980-10-31,0.000000,0.625000,0.609375,0.625000,0.284476,105600
1980-11-03,0.000000,0.632813,0.627604,0.630208,0.286846,115200
1980-11-05,0.000000,0.656250,0.635417,0.635417,0.289217,259200
1980-11-06,0.000000,0.643229,0.601563,0.601563,0.273808,307200
1980-11-07,0.000000,0.598958,0.588542,0.591146,0.269067,129600
1980-11-10,0.000000,0.606771,0.591146,0.591146,0.269067,187200
1980-11-11,0.000000,0.611979,0.583333,0.611979,0.278549,115200
1980-11-12,0.000000,0.617188,0.598958,0.604167,0.274993,336000
1980-11-13,0.000000,0.625000,0.593750,0.625000,0.284476,139200
