Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.000000,1.937500,1.843750,1.843750,0.926470,37600
1980-03-18,0.000000,2.000000,1.906250,1.906250,0.957875,100800
1980-03-19,0.000000,2.062500,1.968750,1.968750,0.989281,30400
1980-03-20,0.000000,2.062500,1.968750,1.968750,0.989281,27200
1980-03-21,0.000000,2.062500,1.968750,1.968750,0.989281,7200
1980-03-24,0.000000,2.031250,1.937500,1.937500,0.973578,50400
1980-03-25,0.000000,2.031250,1.937500,1.937500,0.973578,26400
1980-03-26,0.000000,2.031250,1.937500,1.937500,0.973578,80800
1980-03-27,0.000000,2.000000,1.906250,1.906250,0.957875,70400
1980-03-28,0.000000,2.062500,1.968750,1.968750,0.989281,63200
1980-03-31,0.000000,2.062500,1.968750,1.968750,0.989281,4800
1980-04-01,0.000000,2.125000,2.031250,2.031250,1.020687,27200
1980-04-02,0.000000,2.218750,2.125000,2.125000,1.067796,38400
1980-04-03,0.000000,2.218750,2.125000,2.125000,1.067796,7200
1980-04-07,0.000000,2.218750,2.125000,2.125000,1.067796,9600
1980-04-08,0.000000,2.218750,2.125000,2.125000,1.067796,27200
1980-04-09,0.000000,2.375000,2.281250,2.281250,1.146310,48000
1980-04-10,0.000000,2.375000,2.281250,2.281250,1.146310,23200
1980-04-11,0.000000,2.406250,2.312500,2.312500,1.162013,54400
1980-04-14,0.000000,2.406250,2.312500,2.312500,1.162013,32800
1980-04-15,0.000000,2.437500,2.343750,2.343750,1.177715,44000
1980-04-16,0.000000,2.406250,2.312500,2.312500,1.162013,76000
1980-04-17,0.000000,2.281250,2.187500,2.187500,1.099201,247200
1980-04-18,0.000000,2.281250,2.187500,2.187500,1.099201,8000
1980-04-21,0.000000,2.312500,2.218750,2.218750,1.114904,38400
1980-04-22,0.000000,2.343750,2.250000,2.250000,1.130607,188800
1980-04-23,0.000000,2.312500,2.218750,2.218750,1.114904,68800
1980-04-24,0.000000,2.312500,2.218750,2.218750,1.114904,71200
1980-04-25,0.000000,2.312500,2.218750,2.218750,1.114904,18400
1980-04-28,0.000000,2.312500,2.218750,2.218750,1.114904,39200
1980-04-29,0.000000,2.312500,2.218750,2.218750,1.114904,4000
1980-04-30,0.000000,2.312500,2.218750,2.218750,1.114904,23200
1980-05-01,0.000000,2.343750,2.250000,2.250000,1.130607,21600
1980-05-02,0.000000,2.312500,2.218750,2.218750,1.114904,30400
1980-05-05,0.000000,2.312500,2.218750,2.218750,1.114904,8800
1980-05-06,0.000000,2.312500,2.218750,2.218750,1.114904,3200
1980-05-07,0.000000,2.312500,2.218750,2.218750,1.114904,8800
