Date,Open,High,Low,Close,Adj Close,Volume
1977-01-03,0.945808,0.958589,0.945808,0.958589,0.330841,165282
1977-01-04,0.958589,0.971370,0.907464,0.958589,0.330841,179952
1977-01-05,0.958589,0.984151,0.958589,0.984151,0.339663,189732
1977-01-06,0.984151,1.035276,0.984151,1.035276,0.357308,384354
1977-01-07,1.035276,1.048057,1.022495,1.048057,0.361719,345234
1977-01-10,1.048057,1.060838,1.035276,1.048057,0.361719,311004
1977-01-11,1.048057,1.048057,1.022495,1.022495,0.352897,155502
1977-01-12,1.009714,1.009714,0.984151,0.996933,0.344074,198534
1977-01-13,0.996933,0.996933,0.971370,0.984151,0.339663,155502
1977-01-14,0.984151,0.996933,0.984151,0.984151,0.339663,116382
1977-01-17,0.996933,1.035276,0.996933,1.009714,0.348486,222006
1977-01-18,1.022495,1.035276,1.022495,1.035276,0.357308,112470
1977-01-19,1.035276,1.048057,1.022495,1.022495,0.352897,149634
1977-01-20,1.022495,1.035276,1.009714,1.009714,0.348486,179952
1977-01-21,1.009714,1.022495,0.996933,0.996933,0.344074,185820
1977-01-24,1.035276,1.086401,1.035276,1.086401,0.374953,850860
1977-01-25,1.086401,1.124744,1.073620,1.086401,0.374953,502692
1977-01-26,1.086401,1.086401,1.060838,1.073620,0.370542,263082
1977-01-27,1.073620,1.086401,1.048057,1.073620,0.370542,258192
1977-01-28,1.073620,1.086401,1.048057,1.073620,0.370542,122250
1977-01-31,1.060838,1.060838,1.035276,1.048057,0.361719,114426
1977-02-01,1.048057,1.048057,1.035276,1.048057,0.361719,81174
1977-02-02,1.035276,1.035276,1.009714,1.009714,0.348486,112470
1977-02-03,1.009714,1.022495,0.984151,1.022495,0.352897,153546
1977-02-04,1.022495,1.035276,1.022495,1.022495,0.352897,121272
1977-02-07,1.035276,1.060838,1.035276,1.035276,0.357308,82152
1977-02-08,1.035276,1.035276,1.022495,1.022495,0.352897,115404
1977-02-09,1.022495,1.048057,1.022495,1.022495,0.352897,283620
1977-02-10,1.022495,1.022495,0.996933,1.009714,0.348486,74328
1977-02-11,1.009714,1.009714,0.971370,0.971370,0.335252,152568
1977-02-14,0.958589,0.958589,0.945808,0.945808,0.326429,143766
1977-02-15,0.958589,0.984151,0.958589,0.984151,0.339663,175062
1977-02-16,0.984151,0.996933,0.971370,0.984151,0.339663,225918
1977-02-17,0.984151,1.035276,0.984151,1.022495,0.352897,1001472
1977-02-18,1.022495,1.060838,1.022495,1.035276,0.357308,472374
1977-02-22,1.048057,1.060838,1.048057,1.048057,0.361719,275796
1977-02-23,1.048057,1.060838,1.035276,1.035276,0.357308,81174
1977-02-24,1.035276,1.035276,1.022495,1.022495,0.352897,228852
1977-02-25,1.022495,1.022495,1.009714,1.009714,0.348486,355014
1977-02-28,1.009714,1.022495,1.009714,1.022495,0.352897,86064
1977-03-01,1.022495,1.060838,1.022495,1.048057,0.361719,293400
1977-03-02,1.048057,1.048057,1.022495,1.022495,0.352897,243522
1977-03-03,1.022495,1.022495,1.009714,1.009714,0.348486,52812
1977-03-04,1.009714,1.022495,1.009714,1.022495,0.352897,45966
1977-03-07,1.009714,1.009714,0.984151,0.984151,0.339663,65526
1977-03-08,0.984151,0.996933,0.984151,0.984151,0.339663,59658
1977-03-09,0.984151,0.996933,0.984151,0.984151,0.339663,68460
1977-03-10,0.984151,1.022495,0.984151,1.009714,0.348486,203424
1977-03-11,1.009714,1.022495,1.009714,1.009714,0.348486,158436
1977-03-14,1.022495,1.060838,1.022495,1.048057,0.361719,328608
1977-03-15,1.048057,1.048057,1.035276,1.035276,0.357308,112470
1977-03-16,1.035276,1.035276,1.022495,1.035276,0.357308,149634
1977-03-17,1.035276,1.035276,1.022495,1.022495,0.352897,59658
1977-03-18,1.035276,1.035276,1.022495,1.022495,0.352897,59658
1977-03-21,1.022495,1.022495,1.009714,1.009714,0.348486,139854
1977-03-22,1.009714,1.009714,0.984151,0.984151,0.339663,105624
1977-03-23,0.984151,0.984151,0.971370,0.971370,0.335252,85086
1977-03-24,0.971370,0.984151,0.945808,0.945808,0.326429,177996
1977-03-25,0.945808,0.958589,0.945808,0.945808,0.326429,71394
1977-03-28,0.945808,0.958589,0.945808,0.945808,0.326429,103668
1977-03-29,0.945808,0.958589,0.945808,0.958589,0.330841,164304
1977-03-30,0.958589,0.971370,0.958589,0.971370,0.335252,133986
1977-03-31,0.971370,0.971370,0.945808,0.945808,0.326429,84108
1977-04-01,0.945808,0.996933,0.945808,0.984151,0.339663,256236
1977-04-04,0.996933,1.009714,0.996933,0.996933,0.344074,248412
1977-04-05,0.996933,1.009714,0.996933,0.996933,0.344074,151590
1977-04-06,0.996933,1.009714,0.996933,1.009714,0.348486,427386
1977-04-07,1.009714,1.009714,0.984151,1.009714,0.348486,354036
1977-04-11,0.971370,0.971370,0.958589,0.958589,0.330841,139854
1977-04-12,0.958589,0.984151,0.958589,0.958589,0.330841,39120
1977-04-13,0.958589,0.984151,0.945808,0.971370,0.335252,169194
1977-04-14,0.971370,0.984151,0.945808,0.971370,0.335252,87042
1977-04-15,0.971370,1.009714,0.958589,1.009714,0.348486,323718
1977-04-18,1.009714,1.022495,0.971370,0.984151,0.339663,449880
1977-04-19,0.971370,0.971370,0.945808,0.971370,0.335252,253302
1977-04-20,0.958589,0.958589,0.945808,0.958589,0.330841,60636
1977-04-21,0.958589,0.971370,0.958589,0.971370,0.335252,604404
1977-04-22,0.971370,0.971370,0.945808,0.945808,0.326429,163326
1977-04-25,0.945808,0.945808,0.920245,0.920245,0.317607,103668
1977-04-26,0.920245,0.933027,0.920245,0.933027,0.322018,147678
1977-04-27,0.933027,0.945808,0.933027,0.933027,0.322018,105624
1977-04-28,0.933027,0.945808,0.920245,0.920245,0.317607,114426
1977-04-29,0.920245,0.933027,0.920245,0.933027,0.322018,93888
1977-05-02,0.933027,0.945808,0.920245,0.945808,0.326429,129096
1977-05-03,0.945808,0.945808,0.907464,0.920245,0.317607,161370
1977-05-04,0.920245,0.984151,0.920245,0.984151,0.339663,265038
1977-05-05,0.984151,1.048057,0.984151,1.048057,0.361719,2446956
1977-05-06,1.060838,1.150307,1.048057,1.124744,0.388186,2669940
1977-05-09,1.124744,1.175869,1.111963,1.175869,0.405831,869442
1977-05-10,1.175869,1.214213,1.150307,1.175869,0.405831,1774092
1977-05-11,1.188650,1.278119,1.188650,1.226994,0.423476,2350134
1977-05-12,1.239775,1.278119,1.239775,1.265337,0.436710,1352574
1977-05-13,1.265337,1.265337,1.150307,1.239775,0.427887,699270
1977-05-16,1.239775,1.265337,1.214213,1.226994,0.423476,563328
1977-05-17,1.201431,1.201431,1.163088,1.188650,0.410242,403914
1977-05-18,1.188650,1.214213,1.188650,1.188650,0.410242,309048
1977-05-19,1.201431,1.214213,1.201431,1.214213,0.419065,317850
1977-05-20,1.214213,1.214213,1.188650,1.201431,0.414653,207336
1977-05-23,1.201431,1.201431,1.175869,1.175869,0.405831,173106
1977-05-24,1.163088,1.163088,1.150307,1.163088,0.401420,314916
1977-05-25,1.163088,1.188650,1.124744,1.150307,0.397009,396090
1977-05-26,1.150307,1.163088,1.137526,1.137526,0.392597,364794
1977-05-27,1.137526,1.150307,1.124744,1.124744,0.388186,404892
1977-05-31,1.124744,1.163088,1.124744,1.163088,0.401420,180930
1977-06-01,1.163088,1.188650,1.163088,1.175869,0.405831,273840
1977-06-02,1.175869,1.188650,1.163088,1.163088,0.401420,142788
1977-06-03,1.163088,1.252556,1.163088,1.214213,0.419065,807828
1977-06-06,1.214213,1.252556,1.201431,1.214213,0.419065,347190
1977-06-07,1.214213,1.405930,1.214213,1.405930,0.485233,2653314
1977-06-08,1.405930,1.418712,1.342025,1.367587,0.471999,1858200
1977-06-09,1.367587,1.367587,1.329243,1.342025,0.463177,601470
1977-06-10,1.342025,1.393149,1.342025,1.393149,0.480822,545724
1977-06-13,1.380368,1.380368,1.342025,1.367587,0.471999,468462
1977-06-14,1.367587,1.367587,1.342025,1.354806,0.467588,559416
1977-06-15,1.354806,1.469836,1.342025,1.444274,0.498466,2104656
1977-06-16,1.444274,1.495399,1.431493,1.469836,0.507289,1022988
1977-06-17,1.482618,1.559305,1.482618,1.559305,0.538167,1813212
1977-06-20,1.559305,1.584867,1.520961,1.584867,0.546990,1679226
1977-06-21,1.584867,1.584867,1.546524,1.572086,0.542579,1622502
1977-06-22,1.572086,1.635992,1.546524,1.635992,0.564635,1875804
1977-06-23,1.635992,1.635992,1.597648,1.623211,0.560224,533010
1977-06-24,1.623211,1.635992,1.597648,1.623211,0.560224,469440
1977-06-27,1.623211,1.623211,1.584867,1.610429,0.555812,433254
1977-06-28,1.610429,1.610429,1.508180,1.533742,0.529345,2005878
1977-06-29,1.533742,1.559305,1.482618,1.559305,0.538167,818586
1977-06-30,1.572086,1.597648,1.572086,1.584867,0.546990,812718
1977-07-01,1.572086,1.572086,1.546524,1.546524,0.533756,303180
1977-07-05,1.546524,1.546524,1.520961,1.533742,0.529345,272862
1977-07-06,1.520961,1.520961,1.457055,1.482618,0.511700,1330080
1977-07-07,1.482618,1.508180,1.482618,1.508180,0.520522,682644
1977-07-08,1.508180,1.520961,1.508180,1.520961,0.524934,374574
1977-07-11,1.520961,1.546524,1.508180,1.533742,0.529345,330564
1977-07-12,1.533742,1.661554,1.533742,1.661554,0.573457,1313454
1977-07-13,1.687117,1.802147,1.687117,1.751022,0.604335,3144270
1977-07-15,1.763804,1.904397,1.763804,1.891616,0.652859,2271894
1977-07-18,1.891616,1.955521,1.814928,1.904397,0.657270,1420056
1977-07-19,1.904397,1.904397,1.789366,1.789366,0.617569,902694
1977-07-20,1.789366,1.789366,1.712679,1.776585,0.613158,978000
1977-07-21,1.763804,1.763804,1.699898,1.725460,0.595513,407826
1977-07-22,1.763804,1.814928,1.763804,1.814928,0.626391,552570
1977-07-25,1.814928,1.840491,1.712679,1.712679,0.591102,532032
1977-07-26,1.712679,1.763804,1.712679,1.763804,0.608747,432276
1977-07-27,1.763804,1.776585,1.712679,1.725460,0.595513,1061130
1977-07-28,1.725460,1.751022,1.699898,1.738241,0.599924,689490
1977-07-29,1.738241,1.763804,1.699898,1.738241,0.599924,457704
1977-08-01,1.738241,1.763804,1.725460,1.738241,0.599924,222006
1977-08-02,1.738241,1.751022,1.725460,1.751022,0.604335,244500
1977-08-03,1.738241,1.738241,1.712679,1.738241,0.599924,215160
1977-08-04,1.738241,1.853272,1.738241,1.840491,0.635214,1066998
1977-08-05,1.840491,1.866053,1.814928,1.840491,0.635214,341322
1977-08-08,1.840491,1.840491,1.814928,1.827710,0.630803,248412
1977-08-09,1.827710,1.840491,1.802147,1.802147,0.621980,495846
1977-08-10,1.802147,1.840491,1.802147,1.827710,0.630803,170172
1977-08-11,1.827710,1.853272,1.814928,1.814928,0.626391,501714
1977-08-12,1.814928,1.827710,1.789366,1.802147,0.621980,149634
1977-08-15,1.802147,1.802147,1.751022,1.789366,0.617569,327630
1977-08-16,1.776585,1.776585,1.699898,1.699898,0.586691,325674
1977-08-17,1.699898,1.763804,1.687117,1.725460,0.595513,272862
1977-08-18,1.725460,1.751022,1.725460,1.738241,0.599924,195600
1977-08-19,1.738241,1.751022,1.712679,1.738241,0.599924,104646
1977-08-22,1.738241,1.738241,1.725460,1.738241,0.599924,136920
1977-08-23,1.738241,1.789366,1.738241,1.738241,0.599924,372618
1977-08-24,1.738241,1.789366,1.725460,1.776585,0.613158,567240
1977-08-25,1.776585,1.853272,1.776585,1.802147,0.621980,1018098
1977-08-26,1.789366,1.789366,1.738241,1.738241,0.599924,345234
1977-08-29,1.738241,1.751022,1.738241,1.751022,0.604335,191688
1977-08-30,1.751022,1.751022,1.648773,1.674335,0.577868,453792
1977-08-31,1.661554,1.661554,1.508180,1.572086,0.542579,873354
1977-09-01,1.572086,1.623211,1.572086,1.623211,0.560224,352080
1977-09-02,1.623211,1.648773,1.559305,1.623211,0.560224,290466
1977-09-06,1.623211,1.648773,1.623211,1.635992,0.564635,103668
1977-09-07,1.635992,1.648773,1.623211,1.648773,0.569046,189732
1977-09-08,1.648773,1.674335,1.610429,1.623211,0.560224,216138
1977-09-09,1.623211,1.623211,1.546524,1.559305,0.538167,258192
1977-09-12,1.559305,1.584867,1.520961,1.546524,0.533756,277752
1977-09-13,1.546524,1.559305,1.533742,1.559305,0.538167,98778
1977-09-14,1.559305,1.559305,1.520961,1.559305,0.538167,220050
1977-09-15,1.559305,1.584867,1.546524,1.584867,0.546990,187776
1977-09-16,1.584867,1.597648,1.559305,1.584867,0.546990,107580
1977-09-19,1.584867,1.584867,1.546524,1.559305,0.538167,37164
1977-09-20,1.546524,1.546524,1.533742,1.546524,0.533756,183864
1977-09-21,1.533742,1.533742,1.457055,1.495399,0.516111,180930
1977-09-22,1.495399,1.508180,1.418712,1.508180,0.520522,459660
1977-09-23,1.495399,1.508180,1.469836,1.508180,0.520522,118338
1977-09-26,1.508180,1.508180,1.482618,1.508180,0.520522,248412
1977-09-27,1.495399,1.495399,1.469836,1.482618,0.511700,130074
1977-09-28,1.482618,1.559305,1.469836,1.533742,0.529345,390222
1977-09-29,1.533742,1.584867,1.533742,1.584867,0.546990,357948
1977-09-30,1.584867,1.635992,1.584867,1.623211,0.560224,462594
1977-10-03,1.623211,1.623211,1.546524,1.559305,0.538167,175062
1977-10-04,1.559305,1.559305,1.520961,1.520961,0.524934,199512
1977-10-05,1.520961,1.520961,1.482618,1.482618,0.511700,165282
1977-10-06,1.482618,1.520961,1.482618,1.508180,0.520522,126162
1977-10-07,1.508180,1.508180,1.482618,1.508180,0.520522,96822
1977-10-10,1.508180,1.508180,1.482618,1.482618,0.511700,42054
1977-10-11,1.482618,1.508180,1.469836,1.495399,0.516111,31296
1977-10-12,1.393149,1.508180,1.380368,1.405930,0.485233,241566
1977-10-13,1.405930,1.405930,1.380368,1.393149,0.480822,190710
1977-10-14,1.393149,1.457055,1.354806,1.457055,0.502878,229830
1977-10-17,1.457055,1.457055,1.405930,1.431493,0.494055,126162
1977-10-18,1.431493,1.444274,1.418712,1.444274,0.498466,177996
1977-10-19,1.444274,1.469836,1.444274,1.444274,0.498466,228852
1977-10-20,1.444274,1.469836,1.444274,1.469836,0.507289,76284
1977-10-21,1.469836,1.508180,1.457055,1.469836,0.507289,156480
1977-10-24,1.469836,1.482618,1.457055,1.457055,0.502878,86064
1977-10-25,1.457055,1.469836,1.444274,1.469836,0.507289,122250
1977-10-26,1.469836,1.520961,1.457055,1.495399,0.516111,150612
1977-10-27,1.495399,1.597648,1.495399,1.559305,0.538167,540834
1977-10-28,1.559305,1.610429,1.520961,1.533742,0.529345,165282
1977-10-31,1.533742,1.546524,1.520961,1.533742,0.529345,69438
1977-11-01,1.508180,1.508180,1.469836,1.495399,0.516111,31296
1977-11-02,1.469836,1.469836,1.444274,1.444274,0.498466,39120
1977-11-03,1.444274,1.444274,1.418712,1.444274,0.498466,150612
1977-11-04,1.444274,1.457055,1.444274,1.444274,0.498466,112470
1977-11-07,1.457055,1.482618,1.457055,1.469836,0.507289,233742
1977-11-08,1.469836,1.469836,1.457055,1.469836,0.507289,47922
1977-11-09,1.457055,1.457055,1.444274,1.457055,0.502878,279708
1977-11-10,1.457055,1.482618,1.457055,1.482618,0.511700,312960
1977-11-11,1.508180,1.572086,1.508180,1.572086,0.542579,864552
1977-11-14,1.572086,1.584867,1.546524,1.584867,0.546990,620052
1977-11-15,1.584867,1.623211,1.584867,1.610429,0.555812,318828
1977-11-16,1.610429,1.648773,1.610429,1.635992,0.564635,409782
1977-11-17,1.635992,1.635992,1.572086,1.597648,0.551400,161370
1977-11-18,1.597648,1.610429,1.572086,1.610429,0.555812,397068
1977-11-21,1.610429,1.623211,1.597648,1.610429,0.555812,95844
1977-11-22,1.623211,1.661554,1.623211,1.661554,0.573457,455748
1977-11-23,1.661554,1.661554,1.648773,1.648773,0.569046,202446
1977-11-25,1.648773,1.687117,1.623211,1.687117,0.582279,462594
1977-11-28,1.687117,1.712679,1.674335,1.687117,0.582279,308070
1977-11-29,1.687117,1.699898,1.648773,1.648773,0.569046,290466
1977-11-30,1.648773,1.661554,1.648773,1.661554,0.573457,59658
1977-12-01,1.661554,1.661554,1.635992,1.661554,0.573457,143766
1977-12-02,1.661554,1.661554,1.623211,1.635992,0.564635,125184
1977-12-05,1.623211,1.623211,1.610429,1.623211,0.560224,55746
1977-12-06,1.597648,1.597648,1.546524,1.572086,0.542579,345234
1977-12-07,1.572086,1.572086,1.546524,1.546524,0.533756,97800
1977-12-08,1.546524,1.559305,1.533742,1.533742,0.529345,148656
1977-12-09,1.533742,1.572086,1.533742,1.559305,0.538167,123228
1977-12-12,1.559305,1.572086,1.546524,1.559305,0.538167,90954
1977-12-13,1.533742,1.533742,1.520961,1.533742,0.529345,92910
1977-12-14,1.533742,1.533742,1.520961,1.533742,0.529345,51834
