Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.000000,7.708333,7.083333,7.083333,3.229692,208200
1980-03-18,0.000000,7.208333,7.000000,7.208333,3.286685,173100
1980-03-19,0.000000,7.291667,7.083333,7.083333,3.229692,71400
1980-03-20,0.000000,7.208333,6.875000,7.000000,3.191694,67200
1980-03-21,0.000000,6.958333,6.708333,6.958333,3.172696,101400
1980-03-24,0.000000,6.833333,6.708333,6.708333,3.058708,99600
1980-03-25,0.000000,6.791667,6.583333,6.708333,3.058708,150600
1980-03-26,0.000000,7.000000,6.708333,6.708333,3.058708,77400
1980-03-27,0.000000,6.625000,6.208333,6.541667,2.982716,154200
1980-03-28,0.000000,6.875000,6.500000,6.833333,3.115702,81300
1980-03-31,0.000000,7.125000,6.791667,7.041667,3.210693,114900
1980-04-01,0.000000,7.208333,7.041667,7.083333,3.229692,142200
1980-04-02,0.000000,7.208333,7.083333,7.083333,3.229692,32700
1980-04-03,0.000000,7.166667,7.083333,7.083333,3.229692,37500
1980-04-07,0.000000,7.083333,6.958333,6.958333,3.172696,78300
1980-04-08,0.000000,6.958333,6.708333,6.958333,3.172696,95700
1980-04-09,0.000000,6.958333,6.875000,6.875000,3.134700,57300
1980-04-10,0.000000,6.916667,6.750000,6.833333,3.115702,59100
1980-04-11,0.000000,6.875000,6.791667,6.875000,3.134700,58200
1980-04-14,0.000000,6.875000,6.791667,6.833333,3.115702,57900
1980-04-15,0.000000,6.791667,6.500000,6.583333,3.001713,96300
1980-04-16,0.000000,6.708333,6.416667,6.416667,2.925719,95700
1980-04-17,0.000000,6.458333,6.208333,6.250000,2.849728,77700
1980-04-18,0.000000,6.333333,6.208333,6.250000,2.849728,50700
1980-04-21,0.000000,6.333333,6.166667,6.250000,2.849728,125400
1980-04-22,0.000000,6.791667,6.333333,6.750000,3.077708,136800
1980-04-23,0.000000,6.958333,6.708333,6.833333,3.115702,90900
1980-04-24,0.000000,7.250000,6.875000,7.166667,3.267687,92400
1980-04-25,0.000000,7.208333,6.958333,7.208333,3.286685,111000
1980-04-28,0.000000,7.250000,7.125000,7.125000,3.248690,38700
1980-04-29,0.000000,7.333333,7.125000,7.208333,3.286685,50100
1980-04-30,0.000000,7.375000,7.208333,7.375000,3.362680,39000
1980-05-01,0.000000,7.458333,7.333333,7.416667,3.381675,57300
1980-05-02,0.000000,7.500000,7.333333,7.375000,3.362680,26400
1980-05-05,0.000000,7.458333,7.333333,7.416667,3.381675,31200
1980-05-06,0.000000,7.625000,7.375000,7.416667,3.381675,37800
1980-05-07,0.000000,7.666667,7.416667,7.625000,3.476669,246000
1980-05-08,0.000000,7.875000,7.541667,7.583333,3.457668,132300
1980-05-09,0.000000,7.625000,7.500000,7.500000,3.419672,41400
1980-05-12,0.000000,7.333333,7.166667,7.250000,3.305684,60000
1980-05-13,0.000000,7.291667,7.083333,7.166667,3.267687,45000
1980-05-14,0.000000,7.666667,7.125000,7.666667,3.495666,127800
1980-05-15,0.000000,7.791667,7.666667,7.750000,3.533661,106200
1980-05-16,0.000000,7.666667,7.500000,7.541667,3.438671,45900
1980-05-19,0.000000,7.541667,7.416667,7.541667,3.438671,145800
1980-05-20,0.000000,7.583333,7.500000,7.500000,3.419672,63600
1980-05-21,0.000000,7.583333,7.333333,7.333333,3.343681,44400
1980-05-22,0.000000,7.500000,7.208333,7.458333,3.400673,75000
1980-05-23,0.000000,7.750000,7.541667,7.750000,3.533661,83700
1980-05-27,0.000000,8.083333,7.875000,8.041667,3.666649,182700
