Date,Open,High,Low,Close,Adj Close,Volume
1982-06-02,4.805556,4.875000,4.736111,4.763889,1.473000,1081800
1982-06-03,4.736111,4.763889,4.694444,4.694444,1.451527,672300
1982-06-04,4.638889,4.680556,4.583333,4.597222,1.421467,828900
1982-06-07,4.638889,4.694444,4.583333,4.666667,1.442940,287100
1982-06-08,4.638889,4.680556,4.597222,4.597222,1.421467,330300
1982-06-09,4.611111,4.638889,4.583333,4.597222,1.421467,841500
1982-06-10,4.597222,4.611111,4.583333,4.597222,1.421467,591300
1982-06-11,4.638889,4.680556,4.583333,4.625000,1.430055,1161000
1982-06-14,4.611111,4.625000,4.583333,4.583333,1.417172,498600
1982-06-15,4.611111,4.638889,4.583333,4.611111,1.425761,666900
1982-06-16,4.611111,4.638889,4.583333,4.611111,1.425761,239400
1982-06-17,4.555556,4.611111,4.486111,4.513889,1.395701,937800
1982-06-18,4.513889,4.555556,4.472222,4.513889,1.395701,1577700
1982-06-21,4.541667,4.569444,4.513889,4.569444,1.412878,1314000
1982-06-22,4.638889,4.722222,4.555556,4.722222,1.460117,702000
1982-06-23,4.875000,5.000000,4.736111,5.000000,1.546006,765000
1982-06-24,4.916667,4.972222,4.861111,4.916667,1.520239,720900
1982-06-25,4.930556,4.944444,4.902778,4.930556,1.524534,189000
1982-06-28,4.958333,5.000000,4.916667,4.944444,1.528828,223200
1982-06-29,5.013889,5.055556,4.958333,5.027778,1.554596,670500
1982-06-30,5.055556,5.069444,5.027778,5.055556,1.563184,1296000
1982-07-01,5.055556,5.083333,5.013889,5.055556,1.563184,903600
1982-07-02,5.111111,5.180556,5.027778,5.166667,1.597540,378900
1982-07-06,5.166667,5.208333,5.125000,5.166667,1.597540,527400
1982-07-07,5.111111,5.152778,5.055556,5.125000,1.584656,566100
1982-07-08,5.041667,5.138889,4.944444,5.041667,1.558890,641700
1982-07-09,5.013889,5.055556,4.958333,5.000000,1.546006,361800
1982-07-12,4.972222,5.000000,4.944444,4.986111,1.541712,921600
1982-07-13,4.986111,5.027778,4.944444,5.000000,1.546006,1000800
1982-07-14,4.958333,5.000000,4.944444,4.986111,1.541712,921600
1982-07-15,4.930556,5.027778,4.819444,4.819444,1.490177,684000
1982-07-16,4.819444,4.888889,4.750000,4.805556,1.485884,2254500
1982-07-19,4.777778,4.833333,4.722222,4.750000,1.468705,1497600
1982-07-20,4.819444,4.888889,4.750000,4.875000,1.507356,427500
1982-07-21,4.944444,5.000000,4.875000,4.930556,1.524534,549000
1982-07-22,4.958333,5.000000,4.902778,4.972222,1.537417,973800
1982-07-23,5.097222,5.166667,5.027778,5.125000,1.584656,341100
1982-07-26,5.055556,5.069444,5.027778,5.041667,1.558890,411300
1982-07-27,5.055556,5.069444,5.027778,5.041667,1.558890,1046700
1982-07-28,5.041667,5.069444,5.013889,5.027778,1.554596,781200
1982-07-29,5.041667,5.055556,5.013889,5.027778,1.554596,727200
1982-07-30,5.013889,5.055556,4.972222,5.041667,1.558890,1313100
1982-08-02,5.027778,5.097222,4.958333,5.069444,1.592039,1115100
1982-08-03,5.069444,5.097222,5.041667,5.055556,1.587678,1321200
1982-08-04,5.000000,5.027778,4.958333,4.986111,1.565869,638100
1982-08-05,4.875000,4.972222,4.763889,4.819444,1.513526,819900
1982-08-06,4.847222,4.875000,4.819444,4.833333,1.517889,691200
1982-08-09,4.833333,4.861111,4.805556,4.861111,1.526613,567000
1982-08-10,4.861111,4.888889,4.833333,4.875000,1.530974,463500
1982-08-11,4.888889,4.916667,4.861111,4.902778,1.539698,248400
1982-08-12,4.888889,4.916667,4.861111,4.888889,1.535336,338400
1982-08-13,4.958333,5.027778,4.875000,5.027778,1.578955,688500
1982-08-16,5.055556,5.083333,5.013889,5.055556,1.587678,940500
1982-08-17,5.166667,5.250000,5.069444,5.250000,1.648742,1505700
1982-08-18,5.333333,5.416667,5.250000,5.263889,1.653104,2105100
1982-08-19,5.319444,5.361111,5.277778,5.305556,1.666189,1035000
1982-08-20,5.319444,5.347222,5.291667,5.347222,1.679273,1650600
1982-08-23,5.500000,5.666667,5.333333,5.583333,1.753423,1472400
1982-08-24,5.652778,5.708333,5.597222,5.625000,1.766510,1353600
1982-08-25,5.736111,5.847222,5.611111,5.847222,1.836297,688500
1982-08-26,5.958333,6.013889,5.902778,5.916667,1.858106,2550600
1982-08-27,5.888889,5.930556,5.833333,5.847222,1.836297,792000
1982-08-30,5.819444,5.888889,5.736111,5.847222,1.836297,1009800
1982-08-31,5.958333,6.055556,5.861111,6.027778,1.893000,932400
1982-09-01,6.041667,6.097222,5.972222,6.069444,1.906084,919800
1982-09-02,6.125000,6.222222,6.027778,6.166667,1.936617,1198800
1982-09-03,6.152778,6.236111,6.055556,6.111111,1.919169,1855800
1982-09-07,5.930556,6.000000,5.847222,5.916667,1.858106,1188000
1982-09-08,5.861111,5.902778,5.805556,5.875000,1.845019,1027800
1982-09-09,5.902778,5.958333,5.833333,5.861111,1.840659,1611900
1982-09-10,5.847222,5.875000,5.805556,5.861111,1.840659,1086300
1982-09-13,5.902778,5.986111,5.805556,5.972222,1.875553,1084500
1982-09-14,6.097222,6.138889,6.055556,6.125000,1.923532,1207800
1982-09-15,6.069444,6.111111,6.013889,6.097222,1.914808,1224900
1982-09-16,6.027778,6.111111,5.944444,5.944444,1.866829,1817100
1982-09-17,5.930556,5.972222,5.875000,5.875000,1.845019,1534500
1982-09-20,5.888889,5.958333,5.819444,5.944444,1.866829,963900
1982-09-21,6.055556,6.111111,5.986111,6.111111,1.919169,1336500
1982-09-22,6.152778,6.222222,6.069444,6.069444,1.906084,2179800
1982-09-23,6.000000,6.041667,5.958333,6.027778,1.893000,893700
1982-09-24,6.027778,6.055556,6.000000,6.000000,1.884276,669600
1982-09-27,6.027778,6.069444,5.986111,6.055556,1.901722,340200
1982-09-28,6.180556,6.236111,6.111111,6.166667,1.936617,1337400
1982-09-29,6.277778,6.388889,6.152778,6.250000,1.962787,1468800
1982-09-30,6.194444,6.236111,6.152778,6.166667,1.936617,897300
1982-10-01,6.180556,6.222222,6.138889,6.222222,1.954064,738000
1982-10-04,6.194444,6.222222,6.166667,6.180556,1.940979,866700
1982-10-05,6.208333,6.222222,6.180556,6.194444,1.945341,413100
1982-10-06,6.222222,6.263889,6.180556,6.236111,1.958426,906300
1982-10-07,6.375000,6.444444,6.305556,6.375000,2.002043,1595700
1982-10-08,6.375000,6.402778,6.333333,6.375000,2.002043,933300
1982-10-11,6.263889,6.291667,6.236111,6.263889,1.967149,1193400
1982-10-12,6.138889,6.222222,6.055556,6.180556,1.940979,3811500
1982-10-13,6.291667,6.375000,6.194444,6.333333,1.988957,1512000
1982-10-14,6.388889,6.430556,6.333333,6.347222,1.993320,1131300
1982-10-15,6.458333,6.555556,6.347222,6.527778,2.050023,877500
1982-10-18,6.555556,6.805556,6.486111,6.805556,2.137256,944100
1982-10-19,6.833333,6.861111,6.791667,6.805556,2.137256,534600
1982-10-20,6.777778,6.861111,6.694444,6.750000,2.119811,730800
1982-10-21,6.916667,7.055556,6.777778,7.027778,2.207044,985500
1982-10-22,7.138889,7.222222,7.041667,7.152778,2.246301,1147500
1982-10-25,7.013889,7.083333,6.930556,6.944444,2.180875,1245600
