Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.000000,0.299479,0.283854,0.283854,0.150063,1401600
1980-03-18,0.000000,0.276042,0.272135,0.273438,0.144557,1459200
1980-03-19,0.000000,0.281250,0.276042,0.281250,0.148686,1296000
1980-03-20,0.000000,0.278646,0.276042,0.276042,0.145933,422400
1980-03-21,0.000000,0.276042,0.272135,0.276042,0.145933,220800
1980-03-24,0.000000,0.272135,0.265625,0.269531,0.142491,518400
1980-03-25,0.000000,0.272135,0.263021,0.265625,0.140426,422400
1980-03-26,0.000000,0.263021,0.260417,0.260417,0.137673,518400
1980-03-27,0.000000,0.256510,0.242188,0.244792,0.129413,892800
1980-03-28,0.000000,0.255208,0.248698,0.255208,0.134919,1152000
1980-03-31,0.000000,0.281250,0.274740,0.281250,0.148686,1420800
1980-04-01,0.000000,0.285156,0.278646,0.283854,0.150063,864000
1980-04-02,0.000000,0.285156,0.282552,0.282552,0.149375,345600
1980-04-03,0.000000,0.290365,0.281250,0.290365,0.153505,374400
1980-04-07,0.000000,0.290365,0.285156,0.285156,0.150751,355200
1980-04-08,0.000000,0.286458,0.285156,0.285156,0.150751,28800
1980-04-09,0.000000,0.285156,0.282552,0.285156,0.150751,115200
1980-04-10,0.000000,0.289063,0.283854,0.287760,0.152128,364800
1980-04-11,0.000000,0.286458,0.285156,0.286458,0.151440,124800
1980-04-14,0.000000,0.286458,0.279948,0.282552,0.149375,662400
1980-04-15,0.000000,0.281250,0.281250,0.281250,0.148686,249600
1980-04-16,0.000000,0.278646,0.270833,0.270833,0.143179,412800
1980-04-17,0.000000,0.269531,0.263021,0.263021,0.139049,393600
1980-04-18,0.000000,0.269531,0.265625,0.269531,0.142491,326400
1980-04-21,0.000000,0.274740,0.272135,0.274740,0.145245,374400
1980-04-22,0.000000,0.283854,0.276042,0.283854,0.150063,326400
1980-04-23,0.000000,0.294271,0.287760,0.294271,0.155570,470400
1980-04-24,0.000000,0.302083,0.294271,0.302083,0.159700,480000
1980-04-25,0.000000,0.296875,0.292969,0.294271,0.155570,316800
1980-04-28,0.000000,0.302083,0.296875,0.296875,0.156947,288000
1980-04-29,0.000000,0.299479,0.295573,0.296875,0.156947,643200
1980-04-30,0.000000,0.305990,0.296875,0.305990,0.161766,672000
1980-05-01,0.000000,0.311198,0.299479,0.305990,0.161766,316800
1980-05-02,0.000000,0.302083,0.302083,0.302083,0.159700,115200
1980-05-05,0.000000,0.304688,0.299479,0.302083,0.159700,163200
1980-05-06,0.000000,0.305990,0.298177,0.298177,0.157635,288000
1980-05-07,0.000000,0.295573,0.292969,0.292969,0.154882,192000
1980-05-08,0.000000,0.292969,0.291667,0.291667,0.154194,374400
1980-05-09,0.000000,0.289063,0.283854,0.283854,0.150063,307200
1980-05-12,0.000000,0.285156,0.281250,0.285156,0.150751,355200
1980-05-13,0.000000,0.289063,0.285156,0.285156,0.150751,326400
1980-05-14,0.000000,0.283854,0.282552,0.283854,0.150063,374400
1980-05-15,0.000000,0.286458,0.285156,0.286458,0.151440,192000
1980-05-16,0.000000,0.290365,0.287760,0.290365,0.153505,412800
1980-05-19,0.000000,0.290365,0.283854,0.286458,0.151440,355200
1980-05-20,0.000000,0.289063,0.282552,0.286458,0.151440,230400
1980-05-21,0.000000,0.290365,0.287760,0.287760,0.152128,124800
1980-05-22,0.000000,0.289063,0.287760,0.289063,0.152817,412800
1980-05-23,0.000000,0.291667,0.287760,0.290365,0.153505,1939200
1980-05-27,0.000000,0.290365,0.287760,0.290365,0.153505,451200
1980-05-28,0.000000,0.294271,0.290365,0.291667,0.154194,998400
1980-05-29,0.000000,0.291667,0.287760,0.287760,0.152128,576000
1980-05-30,0.000000,0.289063,0.285156,0.285156,0.150751,393600
